IDType,project,package,complextype,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_data_class
25,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,DocumentParseFixture,0,0,0,6,0,3,1,6,2,32,3,54,54,2,1,5,56,0,9,1,0.5,9,1.5,1.5,20,72,0,701,72,2,60,0,254,243,2453,0,2,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,false
26,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,Frameworks,0,0,0,2,2,0,0,2,4,30,3,18,18,0,1,5,48,0,4,0.5,0.333333,4,2,2,20,72,0,701,72,2,60,0,254,243,2453,0,4,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,false
28,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,TableParseFixture,0,0,0,7,0,2,1,7,3,32,3,34,34,2,1,5,57,0,7,1,0.571429,7,1,1,20,72,0,701,72,2,60,0,254,243,2453,0,3,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,7,0,0,0,0,7,7,0,0,false
29,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,Divide,0,0,0,1,0,0,0,1,2,32,3,4,4,0,1,5,49,0,1,0,0.333333,1,1,1,20,72,0,701,72,2,60,0,254,243,2453,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,false
31,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,FixtureNameFixture,0,0,0,4,0,0,2,4,1,32,3,35,35,3,1,5,53,0,8,1,0.5,8,2,2,20,72,0,701,72,2,60,0,254,243,2453,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,4,0,0,0,0,4,4,0,0,false
32,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,Table,0,0,0,2,1,4,2,2,1,25,2,16,16,3,0,5,41,0,3,1,0.5,3,1.5,1.5,20,72,0,701,72,2,60,0,254,243,2453,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,3,1,0,0,1,2,2,1,0,false
34,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,StandardAnnotationFixture,0,0,0,4,1,1,3,4,3,31,3,43,43,10,1,6,53,0,11,1,0.5,11,2.75,2.75,20,72,0,701,72,2,60,0,254,243,2453,0,3,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,4,0,0,0,0,4,4,0,0,false
35,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,Money,0,0,0,4,2,0,0,4,1,0,1,26,26,0,1,0,4,0,7,0.333333,1,7,1.75,1.75,20,72,0,701,72,2,60,0,254,243,2453,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,4,3,0,1,false
36,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,FixtureLoadFixture,0,0,0,3,0,0,1,3,1,32,3,24,24,2,1,5,52,0,4,1,0.666667,4,1.333333,1.333333,20,72,0,701,72,2,60,0,254,243,2453,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,3,3,0,0,false
38,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,Color,0,0,0,6,3,5,3,6,1,30,3,44,44,5,0.2,7,52,0,14,0.6,1,14,2.333333,2.333333,20,72,0,701,72,2,60,0,254,243,2453,0,0,0,0,1,0,0,0,1,0,0,4,0,0,3,0,0,7,0,0,0,0,7,6,1,0,false
40,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,HtmlToTextFixture,0,0,0,2,0,0,1,2,1,32,3,15,15,1,1,5,51,0,2,1,0.5,2,1,1,20,72,0,701,72,2,60,0,254,243,2453,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,2,2,0,0,false
42,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,Equals,0,0,0,6,3,2,5,6,7,30,3,70,70,13,0.2,7,52,0,30,0.9,1,30,5,5,20,72,0,701,72,2,60,0,254,243,2453,0,0,3,0,4,0,3,0,4,0,3,3,0,0,3,0,0,6,0,0,0,0,6,6,0,0,false
43,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,AnnotationFixture,0,0,0,5,0,5,1,5,19,32,3,83,83,6,1,5,57,0,21,1,0.05,21,4.2,4.2,20,72,0,701,72,2,60,0,254,243,2453,0,19,0,0,0,0,0,0,19,0,0,1,4,0,0,0,0,5,0,0,0,0,5,5,0,0,false
44,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,TextToHtmlFixture,0,0,0,3,0,0,2,3,1,32,3,20,20,2,1,5,52,0,3,1,0.5,3,1,1,20,72,0,701,72,2,60,0,254,243,2453,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,0,0,3,3,0,0,false
45,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fit,Summary,0,0,0,5,1,4,3,5,1,25,2,49,49,6,0.1,5,44,0,8,0.75,0.5,8,1.6,1.6,40,171,0,1752,182,2,60,0,254,243,2453,0,1,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,5,0,0,0,0,5,5,0,0,false
47,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fit,FileRunner,0,0,0,7,0,5,2,7,4,0,1,72,72,7,0.714286,3,14,1,11,0.708333,0.5,11,1.571429,1.571429,40,171,0,1752,182,2,60,0,254,243,2453,0,4,0,0,0,0,0,0,4,0,0,5,0,3,0,0,0,8,1,0,0,1,7,7,1,0,false
48,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fit,ColumnFixture,0,0,0,10,4,5,3,10,2,22,2,98,98,12,0.133333,5,48,13,23,0.888889,1,23,2.3,2.3,40,171,0,1752,182,2,60,0,254,243,2453,0,0,0,2,0,0,0,0,2,0,0,6,0,4,0,0,0,10,0,0,0,0,10,10,0,0,false
49,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fit,ScientificDouble,1,0,0,11,1,0,0,11,2,6,2,70,70,0,0.622222,0,11,0,19,0.7,1,19,1.727273,1.727273,40,171,0,1752,182,2,60,0,254,243,2453,0,0,0,2,0,0,0,0,2,0,0,11,0,0,0,0,0,11,3,0,0,3,8,10,0,1,false
53,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fit,ActionFixture,0,0,0,7,1,1,3,7,3,25,2,65,65,7,0.952381,5,46,1,13,0.5,0.833333,13,1.857143,1.857143,40,171,0,1752,182,2,60,0,254,243,2453,0,1,0,2,0,0,2,0,1,0,2,5,0,2,0,0,0,7,0,0,0,0,7,7,0,0,false
54,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fit,TypeAdapter,0,1,17,11,0,0,18,10,5,0,1,244,239,18,0.345455,1,29,9,33,0.8,0.6,32,3,3.2,40,171,0,1752,182,2,60,0,254,243,2453,0,5,0,0,0,0,0,0,5,0,0,11,0,1,0,0,0,12,4,0,0,4,8,10,1,0,false
