IDMethod,project,package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,isStatic_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,isStatic_method,is_feature_envy
249,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,DocumentParseFixture,Output(),0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,6,0,3,1,6,2,32,3,54,54,2,1,2,5,56,0,9,1,0.5,9,1.5,1.5,20,72,0,701,72,2,60,0,254,243,2453,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,false
250,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,DocumentParseFixture,Structure(),0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,6,0,3,1,6,2,32,3,54,54,2,1,2,5,56,0,9,1,0.5,9,1.5,1.5,20,72,0,701,72,2,60,0,254,243,2453,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,false
251,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,DocumentParseFixture,GenerateOutput(Parse),1,0,0,0,0,1,5,1,0,2,0,2,0,1,1,0,0,1,0,1,0,0,0,6,0,3,1,6,2,32,3,54,54,2,1,2,5,56,0,9,1,0.5,9,1.5,1.5,20,72,0,701,72,2,60,0,254,243,2453,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,false
252,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,DocumentParseFixture,dumpTables(Parse),1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,6,0,3,1,6,2,32,3,54,54,2,1,2,5,56,0,9,1,0.5,9,1.5,1.5,20,72,0,701,72,2,60,0,254,243,2453,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,false
253,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,DocumentParseFixture,dumpRows(Parse),1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,6,0,3,1,6,2,32,3,54,54,2,1,2,5,56,0,9,1,0.5,9,1.5,1.5,20,72,0,701,72,2,60,0,254,243,2453,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,false
254,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,DocumentParseFixture,dumpCells(Parse),1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,6,2,32,3,54,54,2,1,2,5,56,0,9,1,0.5,9,1.5,1.5,20,72,0,701,72,2,60,0,254,243,2453,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,false
306,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fat,ReferenceFixture,Result(),0,0,5,2,0,3,29,5,0,8,0,12,0.285714,1,3,2,0,3,0,0.333333,0,0,0,1,0,5,1,1,3,32,3,35,35,3,1,3,6,52,0,5,0,0.25,5,5,5,20,72,0,701,72,2,60,0,254,243,2453,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,true
529,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,GrammerException,'GrammerException(int,String)',2,0,0,0,0,1,3,1,0,2,0,2,0,1,1,0,0,1,0,1,0,0,0,4,0,0,1,4,0,15,4,18,18,4,1,0,1,9,0,4,0,1,4,1,1,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,false
530,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,GrammerException,'GrammerException(int,int,int,String)',4,1,0,0,1,1,3,1,0,4,0,4,0,1,1,0,0,1,0,1,0,0,0,4,0,0,1,4,0,15,4,18,18,4,1,0,1,9,0,4,0,1,4,1,1,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,false
531,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,GrammerException,'GrammerException(String,Exception)',2,0,0,0,0,1,3,1,0,2,0,2,0,1,1,0,0,1,0,1,0,0,0,4,0,0,1,4,0,15,4,18,18,4,1,0,1,9,0,4,0,1,4,1,1,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,false
